Date,Price,Open,High,Low,Vol.,Change %
20-Jan-14,102.05,101.6,102.13,101.27,27.36K,0.51%
17-Jan-14,101.53,102.27,102.46,101.53,28.00K,-0.63%
16-Jan-14,102.17,102.77,102.78,102.02,37.76K,-0.23%
15-Jan-14,102.41,102.36,102.68,102.29,71.06K,0.26%
14-Jan-14,102.14,101.22,102.81,101.22,113.10K,1.20%
13-Jan-14,100.93,100.47,101.07,100.47,40.75K,0.70%
10-Jan-14,100.23,100.24,100.57,99.9,31.11K,0.09%
9-Jan-14,100.14,100.25,100.59,100.05,26.46K,-0.10%
8-Jan-14,100.24,100.41,100.94,100.1,33.86K,-0.08%
7-Jan-14,100.32,100.68,101.08,100.32,30.95K,-0.42%
6-Jan-14,100.74,101.43,101.53,100.1,42.48K,-0.54%
3-Jan-14,101.29,101.92,101.92,101.13,40.20K,-0.59%
2-Jan-14,101.89,103.12,103.19,101.45,39.95K,-1.14%
31-Dec-13,103.07,103.6,103.6,102.79,42.83K,-0.47%
30-Dec-13,103.56,103.34,103.75,103.03,78.17K,0.64%
27-Dec-13,102.9,101.6,102.91,101.48,117.65K,1.76%
26-Dec-13,101.12,99.27,101.51,99.27,63.08K,1.37%
25-Dec-13,99.75,99.62,100,99.5,20.33K,0.11%
24-Dec-13,99.64,99.39,100.08,99.26,28.85K,-0.20%
23-Dec-13,99.84,99.89,100.16,99.4,31.92K,-0.22%
20-Dec-13,100.06,100.18,100.39,99.91,52.40K,-0.02%
19-Dec-13,100.08,99.92,100.13,99.52,58.96K,0.24%
18-Dec-13,99.84,99.54,99.87,99.22,46.10K,0.47%
17-Dec-13,99.37,99.28,100.06,99.17,74.81K,0.35%
16-Dec-13,99.02,98.82,99.49,98.46,40.56K,-0.02%
13-Dec-13,99.04,97.77,99.04,97.29,37.25K,1.59%
12-Dec-13,97.49,98.14,98.14,97.4,21.06K,-0.73%
11-Dec-13,98.21,98.16,98.47,97.84,24.81K,0.12%
10-Dec-13,98.09,97.86,98.09,97.41,19.23K,0.28%
9-Dec-13,97.82,97.62,97.89,97.32,21.37K,0.78%
6-Dec-13,97.06,97.33,97.91,97.06,18.61K,-0.60%
5-Dec-13,97.65,97.96,97.97,97.12,19.40K,-0.32%
4-Dec-13,97.96,97.48,98.01,97.21,18.98K,0.50%
3-Dec-13,97.47,97.91,98.07,97.47,17.09K,-0.61%
2-Dec-13,98.07,98.05,98.1,97.45,19.03K,0.01%
